,0,Synonym %,Model ID,loss,acc,f1,precision,recall,mcc,auc,runtime,samples_per_second,steps_per_second,epoch
7,eraser_movie_10_synonym_1_17,1,17,1.2924283742904663,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6630434782608696,2.0838,95.978,6.239,1.0
26,eraser_movie_10_synonym_1_18,1,18,1.2609883546829224,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6267391304347827,2.1183,94.417,6.137,1.0
56,eraser_movie_10_synonym_1_19,1,19,1.1937016248703003,0.5260416666666666,0.099009900990099,0.5555555555555556,0.05434782608695652,0.03391042383775615,0.6472826086956521,2.0891,95.736,6.223,1.0
75,eraser_movie_10_synonym_2_0,2,0,1.3901023864746094,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6444565217391305,2.135,93.677,6.089,1.0
65,eraser_movie_10_synonym_2_1,2,1,1.311838984489441,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6583695652173912,2.1006,95.212,6.189,1.0
86,eraser_movie_10_synonym_2_2,2,2,1.1676558256149292,0.5416666666666666,0.08333333333333333,1.0,0.043478260869565216,0.15207476616811838,0.7440217391304349,2.1056,94.985,6.174,1.0
0,eraser_movie_10_synonym_2_3,2,3,1.3402104377746582,0.53125,0.08163265306122448,0.6666666666666666,0.043478260869565216,0.06741052976458244,0.6257608695652174,2.1942,91.148,5.925,1.0
37,eraser_movie_10_synonym_2_4,2,4,1.2852258682250977,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.6294565217391304,2.1049,95.019,6.176,1.0
76,eraser_movie_10_synonym_2_5,2,5,1.2796238660812378,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6509782608695652,2.1278,93.994,6.11,1.0
2,eraser_movie_10_synonym_2_6,2,6,1.323777675628662,0.5260416666666666,0.042105263157894736,0.6666666666666666,0.021739130434782608,0.04728662437434604,0.6277173913043478,2.0779,96.253,6.256,1.0
33,eraser_movie_10_synonym_2_7,2,7,1.0780531167984009,0.53125,0.06249999999999999,0.75,0.03260869565217391,0.07907887840742156,0.7160869565217391,2.1044,95.04,6.178,1.0
85,eraser_movie_10_synonym_2_8,2,8,1.3901023864746094,0.53125,0.09999999999999999,0.625,0.05434782608695652,0.06086956521739131,0.6444565217391305,2.0935,95.534,6.21,1.0
61,eraser_movie_10_synonym_2_9,2,9,1.311838984489441,0.5364583333333334,0.08247422680412371,0.8,0.043478260869565216,0.1050149179513433,0.6583695652173912,2.1069,94.925,6.17,1.0
49,eraser_movie_10_synonym_2_10,2,10,1.1676558256149292,0.5416666666666666,0.08333333333333333,1.0,0.043478260869565216,0.15207476616811838,0.7440217391304349,2.1112,94.734,6.158,1.0
