,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,loss,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
0,0,Contextual_word_embedding,10,DistilBERT,0,1.7385162115097046,0.545,0.1801801801801802,0.9090909090909092,0.1,0.1973855084879307,0.6450000000000001,0.5460533760344654,0.1024788342557119
1,1,Contextual_word_embedding,10,DistilBERT,1,1.4934290647506714,0.555,0.2521008403361344,0.7894736842105263,0.15,0.1875757092472849,0.6995,0.7622092916488802,0.0103786244997926
2,2,Contextual_word_embedding,10,DistilBERT,2,2.313859462738037,0.535,0.1769911504424778,0.7692307692307693,0.1,0.1419729350050964,0.5789,0.5600662839559639,0.0922267425401202
3,3,Contextual_word_embedding,10,DistilBERT,3,1.4080040454864502,0.55,0.296875,0.6785714285714286,0.19,0.1440976044260587,0.6039,0.6585488279846325,0.0383998629707376
4,4,Contextual_word_embedding,10,DistilBERT,4,1.708625316619873,0.575,0.32,0.8,0.2,0.2267786838055363,0.6631,0.8292837093139818,0.0030075863036816
5,5,LLama,10,DistilBERT,0,0.9520421624183656,0.715,0.6225165562913907,0.9215686274509804,0.47,0.4932762812762168,0.8923,0.9848069807617048,2.2888344854823721e-07
6,6,LLama,10,DistilBERT,1,1.063169240951538,0.615,0.384,0.96,0.24,0.347727315168489,0.7876000000000001,0.9390418473114204,5.610181924931424e-05
7,7,LLama,10,DistilBERT,2,1.7415554523468018,0.53,0.1132075471698113,1.0,0.06,0.1758631145281647,0.7308,0.8896375227527807,0.0005669647218379
8,8,LLama,10,DistilBERT,3,0.8240113258361816,0.685,0.5655172413793103,0.9111111111111112,0.41,0.4430264116660447,0.8606999999999999,0.9695302189773756,3.634851475785749e-06
9,9,LLama,10,DistilBERT,4,0.9335663318634032,0.635,0.4592592592592592,0.8857142857142857,0.31,0.3552939152782752,0.8201,0.9636363636363636,7.320974809529922e-06
10,10,LLama_complex,10,DistilBERT,0,0.8954591155052185,0.7,0.5890410958904109,0.9347826086956522,0.43,0.4752484565217575,0.876,0.9787279253249042,8.73148286763856e-07
11,11,LLama_complex,10,DistilBERT,1,0.9369317889213562,0.635,0.4427480916030534,0.935483870967742,0.29,0.3730263965171478,0.8225000000000001,0.960490759014502,1.0163235882999593e-05
12,12,LLama_complex,10,DistilBERT,2,1.6575621366500854,0.575,0.2608695652173913,1.0,0.15,0.2847473987257497,0.7236000000000001,0.9146511499786562,0.0002092087789509
13,13,LLama_complex,10,DistilBERT,3,0.7348933219909668,0.74,0.6666666666666666,0.9285714285714286,0.52,0.5345224838248488,0.8726,0.9451395216446112,3.707957081777725e-05
14,14,LLama_complex,10,DistilBERT,4,0.8280753493309021,0.665,0.524822695035461,0.902439024390244,0.37,0.4087177033939788,0.8404,0.9848069807617048,2.2888344854823721e-07
15,15,ROS,10,DistilBERT,0,2.0237181186676025,0.6,0.3442622950819672,0.9545454545454546,0.21,0.3196013860502965,0.8593000000000001,0.9390418473114204,5.610181924931424e-05
16,16,ROS,10,DistilBERT,1,2.506288528442383,0.535,0.1308411214953271,1.0,0.07,0.1904453466268301,0.7414000000000001,0.7706746355884525,0.0090779645288292
17,17,ROS,10,DistilBERT,2,2.4783763885498047,0.54,0.1785714285714285,0.8333333333333334,0.1,0.1684303842133038,0.6888,0.9264501099011716,0.0001170712421773
18,18,ROS,10,DistilBERT,3,1.5635052919387815,0.67,0.5147058823529411,0.9722222222222222,0.35,0.4424923253510505,0.8706,0.9757575757575756,1.4675461874042197e-06
19,19,ROS,10,DistilBERT,4,2.197717666625977,0.575,0.3089430894308943,0.8260869565217391,0.19,0.2350935466610062,0.7857000000000001,0.8658697553131279,0.0012006393015462
20,20,Spelling_mistake,10,DistilBERT,0,2.5026204586029053,0.54,0.1636363636363636,0.9,0.09,0.1835325870964494,0.7824000000000001,0.8773666603699838,0.0008511884372885
21,21,Spelling_mistake,10,DistilBERT,1,2.642210006713867,0.52,0.0769230769230769,1.0,0.04,0.1428571428571428,0.7898999999999999,0.9085534756454652,0.0002736366005725
22,22,Spelling_mistake,10,DistilBERT,2,2.625727891921997,0.545,0.165137614678899,1.0,0.09,0.2170723815877264,0.6638,0.6238794669049376,0.0538984692262632
23,23,Spelling_mistake,10,DistilBERT,3,1.6884472370147705,0.57,0.2456140350877192,1.0,0.14,0.2743516305843672,0.7535,0.8902604526458922,0.0005547038179406
24,24,Spelling_mistake,10,DistilBERT,4,2.492412567138672,0.56,0.2280701754385964,0.9285714285714286,0.13,0.2351585405008861,0.8045,0.9848069807617048,2.2888344854823721e-07
25,25,Summarization,10,DistilBERT,0,1.3660366535186768,0.5,0.0,0.0,0.0,0.0,0.7098000000000001,0.9231861823449954,0.0001387172447573
26,26,Summarization,10,DistilBERT,1,1.150169849395752,0.5,0.0,0.0,0.0,0.0,0.6170999999999999,0.6606071096975006,0.0375879667321787
27,27,Summarization,10,DistilBERT,2,1.1722058057785034,0.495,0.0194174757281553,0.3333333333333333,0.01,-0.0411345034894863,0.6905999999999999,0.8134898931211442,0.0041987986639333
28,28,Summarization,10,DistilBERT,3,1.2579755783081057,0.495,0.0,0.0,0.0,-0.0708881205008336,0.6396000000000001,0.801256962397518,0.0053287859789657
29,29,Summarization,10,DistilBERT,4,1.2385786771774292,0.495,0.0,0.0,0.0,-0.0708881205008336,0.6369,0.8936211492096949,0.0004918730190819
30,30,Synonym replacement,10,DistilBERT,0,2.1692116260528564,0.585,0.2905982905982906,1.0,0.17,0.3047887380849036,0.8531,0.8475767323135548,0.0019563760883018
31,31,Synonym replacement,10,DistilBERT,1,2.2957348823547363,0.57,0.2586206896551724,0.9375,0.15,0.25802342327107,0.7995,0.8875420937728943,0.0006096659573243
32,32,Synonym replacement,10,DistilBERT,2,2.7162580490112305,0.525,0.1739130434782609,0.6666666666666666,0.1,0.0949157995752499,0.6222000000000001,0.7073302226501608,0.0221428647660741
