,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
33,LLama_complex,10,LSTM,2,0.5425166170066468,0.4902962206332992,0.8170212765957446,0.3502371397300255,0.2371536586859307,0.6913826485604047,1.0,6.646897422032013e-64,LLama_complex102LSTM
34,LLama_simple,10,LSTM,2,0.4817785927114371,0.3316582914572864,0.8738317757009346,0.2046698285297336,0.2110868968727154,0.717129055026404,1.0,6.646897422032013e-64,LLama_simple102LSTM
36,ROS,10,LSTM,2,0.6798074719229887,0.7266679710428486,0.7835443037974683,0.6774899671652681,0.3504422113770757,0.7427075540576469,1.0,6.646897422032013e-64,ROS102LSTM
38,Spelling_mistake,10,LSTM,2,0.5223470089388036,0.4659149154279857,0.7829457364341085,0.3316307916818679,0.1927632715978179,0.6701006904785575,0.996965091635306,3.698093220209433e-10,Spelling_mistake102LSTM
39,Summarization,10,LSTM,2,0.4900297960119184,0.3723554301833569,0.8208955223880597,0.2407880335643925,0.1894770037231458,0.6705914795242901,0.9636363636363636,7.320974809529922e-06,Summarization102LSTM
41,Synonym replacement,10,LSTM,2,0.5977538391015357,0.5848119233498935,0.8317631224764468,0.4509303174024078,0.3026662107913624,0.7092136758749967,0.9878787878787878,9.307459988955517e-08,Synonym replacement102LSTM
43,imbalanced,10,LSTM,2,0.4900297960119184,0.3541364296081277,0.8664772727272727,0.2225465158701204,0.2162343822967114,0.6989860550232552,1.0,6.646897422032013e-64,imbalanced102LSTM
45,paraphrase,10,LSTM,2,0.5060738024295209,0.3938115330520395,0.85995085995086,0.2553812477198103,0.2296231334558937,0.6923250894869029,1.0,6.646897422032013e-64,paraphrase102LSTM
47,Contextual_word_embedding,10,LSTM,3,0.4950721980288792,0.3851521071727603,0.8194774346793349,0.2517329441809559,0.1935115986568198,0.6768980737767049,0.9757575757575756,1.4675461874042197e-06,Contextual_word_embedding103LSTM
49,LLama_complex,10,LSTM,3,0.5670410268164108,0.5271589486858573,0.8397129186602871,0.3841663626413718,0.277909677943487,0.7280537222817777,1.0,6.646897422032013e-64,LLama_complex103LSTM
51,LLama_simple,10,LSTM,3,0.5347238138895255,0.4606801275239107,0.8475073313782991,0.3163079168186793,0.2511012258056944,0.695369016231127,0.9878787878787878,9.307459988955517e-08,LLama_simple103LSTM
53,ROS,10,LSTM,3,0.4492321796928719,0.2807542651900628,0.7816666666666666,0.1711054359722729,0.1267715646077979,0.6118148803100023,0.9878787878787878,9.307459988955517e-08,ROS103LSTM
55,Spelling_mistake,10,LSTM,3,0.5095118038047215,0.4887720974677496,0.7079584775086505,0.3732214520248084,0.1160832157829737,0.581125719820185,0.9515151515151514,2.279854920641689e-05,Spelling_mistake103LSTM
56,Summarization,10,LSTM,3,0.3827641531056612,0.0385576579792931,0.9,0.0197008391098139,0.0664025609756381,0.6857546567603154,1.0,6.646897422032013e-64,Summarization103LSTM
57,Synonym replacement,10,LSTM,3,0.4650469860187944,0.3011976047904192,0.8397328881469115,0.1835096680043779,0.1745801553968406,0.6982944068492738,1.0,6.646897422032013e-64,Synonym replacement103LSTM
59,imbalanced,10,LSTM,3,0.5409122163648865,0.4862785329571686,0.8186528497409327,0.3458591754834002,0.2368359353010867,0.68323919420626,0.9878787878787878,9.307459988955517e-08,imbalanced103LSTM
61,paraphrase,10,LSTM,3,0.5406830162732065,0.4908536585365853,0.80836820083682,0.3524261218533382,0.2289203981728458,0.6683224236611603,1.0,6.646897422032013e-64,paraphrase103LSTM
63,Contextual_word_embedding,10,LSTM,4,0.5193674077469631,0.5158162087277766,0.7025157232704402,0.4075155052900401,0.1163833059093999,0.5664040727843304,0.7696969696969697,0.0092219527222159,Contextual_word_embedding104LSTM
65,LLama_complex,10,LSTM,4,0.5209718083887234,0.4261394838001097,0.8612652608213096,0.283108354615104,0.2459868475365434,0.7087869908063651,0.9878787878787878,9.307459988955517e-08,LLama_complex104LSTM
67,LLama_simple,10,LSTM,4,0.5264726105890443,0.4127345082433201,0.9343629343629344,0.2648668369208318,0.2948561024465866,0.7315930490595609,0.9878787878787878,9.307459988955517e-08,LLama_simple104LSTM
68,ROS,10,LSTM,4,0.4421269768507907,0.2828520919269298,0.7350689127105666,0.1751185698650127,0.0927414913821842,0.5785810168555222,0.9878787878787878,9.307459988955517e-08,ROS104LSTM
69,Spelling_mistake,10,LSTM,4,0.4870501948200779,0.4362720403022669,0.7046379170056957,0.3159430864647938,0.0989982964888743,0.5924338863069856,0.9515151515151514,2.279854920641689e-05,Spelling_mistake104LSTM
71,Summarization,10,LSTM,4,0.5255558102223241,0.4426494345718902,0.8448098663926003,0.2998905508938344,0.2400849744478901,0.7024197789334987,1.0,6.646897422032013e-64,Summarization104LSTM
72,Synonym replacement,10,LSTM,4,0.4980517992207197,0.387241186345831,0.8307322929171669,0.2524626048887267,0.2035421617572976,0.6700086956482622,0.9878787878787878,9.307459988955517e-08,Synonym replacement104LSTM
73,imbalanced,10,LSTM,4,0.5090534036213614,0.3851894374282433,0.9030955585464334,0.2448011674571324,0.2576641179796128,0.731144658609209,0.9878787878787878,9.307459988955517e-08,imbalanced104LSTM
75,paraphrase,10,LSTM,4,0.5024066009626403,0.4417588068912316,0.7482578397212544,0.3133892739875957,0.1484023416083481,0.6119091244026521,0.9878787878787878,9.307459988955517e-08,paraphrase104LSTM
78,Contextual_word_embedding,20,LSTM,0,0.537474214989686,0.5144369586140519,0.7554770318021201,0.3900036483035388,0.1824072010006182,0.6532550650014328,1.0,6.646897422032013e-64,Contextual_word_embedding200LSTM
80,LLama_complex,20,LSTM,0,0.475590190236076,0.3116726835138387,0.888507718696398,0.1889821233126596,0.2115038153129432,0.718643820758982,0.9878787878787878,9.307459988955517e-08,LLama_complex200LSTM
82,LLama_simple,20,LSTM,0,0.5688746275498511,0.5342906660064373,0.8312788906009245,0.3936519518423932,0.2734085303532642,0.7228384701237229,1.0,6.646897422032013e-64,LLama_simple200LSTM
84,ROS,20,LSTM,0,0.6355718542287417,0.6670854271356784,0.7828009828009828,0.5811747537395111,0.2990219168246161,0.6999810162257287,1.0,6.646897422032013e-64,ROS200LSTM
86,Spelling_mistake,20,LSTM,0,0.5200550080220032,0.4463246959280804,0.8107588856868396,0.3079168186793141,0.2114193309335856,0.6604211023994682,1.0,6.646897422032013e-64,Spelling_mistake200LSTM
88,Summarization,20,LSTM,0,0.6474902589961036,0.6830173124484749,0.7849360492657508,0.6045238963881795,0.313928181695206,0.7224283171333961,0.9878787878787878,9.307459988955517e-08,Summarization200LSTM
90,Synonym replacement,20,LSTM,0,0.6041714416685766,0.630430130537128,0.7624223602484472,0.5373951112732579,0.2475255463271259,0.6694097170832825,0.9878787878787878,9.307459988955517e-08,Synonym replacement200LSTM
91,imbalanced,20,LSTM,0,0.5555810222324089,0.5109709962168979,0.8276143790849673,0.369573148485954,0.2576174167129952,0.7117821085574987,1.0,6.646897422032013e-64,imbalanced200LSTM
93,paraphrase,20,LSTM,0,0.6117350446940178,0.6403397027600849,0.765871000507872,0.5501641736592484,0.258279754342712,0.6890022542107316,0.9757575757575756,1.4675461874042197e-06,paraphrase200LSTM
