,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
0,39,Contextual_word_embedding,10,SVM,0,0.5,0.0,0.0,0.0,0.0,0.7903,0.8991204081865277,0.0004005195254894
1,30,LLama,10,SVM,0,0.54,0.1481481481481481,1.0,0.08,0.2041241452319315,0.7938000000000001,0.9665698144513026,5.248115668648561e-06
2,19,LLama_complex,10,SVM,0,0.55,0.1818181818181818,1.0,0.1,0.2294157338705617,0.8044,0.9756278933105668,1.4989656502286903e-06
3,65,ROS,10,SVM,0,0.5,0.0,0.0,0.0,0.0,0.8011999999999999,0.9322586314422672,8.484873031322902e-05
4,98,Spelling_mistake,10,SVM,0,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.7909999999999999,0.9634325446441844,7.484641255317349e-06
5,118,Summarization,10,SVM,0,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.6668,0.7174921664468928,0.0194874275826255
6,47,Synonym replacement,10,SVM,0,0.5,0.0,0.0,0.0,0.0,0.8023,0.9509918346667656,2.378368464778239e-05
7,89,imbalanced,10,SVM,0,0.605,0.3577235772357723,0.9565217391304348,0.22,0.3291309653254087,0.8462999999999999,0.9939209163101398,5.9314227149526886e-09
8,84,Contextual_word_embedding,10,SVM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.8109999999999999,0.9726488698881034,2.3689349006384747e-06
9,83,LLama,10,SVM,1,0.555,0.1981981981981981,1.0,0.11,0.2412489548185819,0.8240000000000001,0.917469804271967,0.0001835507341359
10,14,LLama_complex,10,SVM,1,0.545,0.165137614678899,1.0,0.09,0.2170723815877264,0.8271999999999999,0.9451395216446112,3.707957081777725e-05
11,111,ROS,10,SVM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.8106,0.9939209163101398,5.9314227149526886e-09
12,60,Spelling_mistake,10,SVM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.8144,0.9848069807617048,2.2888344854823721e-07
13,72,Summarization,10,SVM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.675,0.7926976633148354,0.0062382337689428
14,5,Synonym replacement,10,SVM,1,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.8095000000000001,0.9634325446441844,7.484641255317349e-06
15,4,imbalanced,10,SVM,1,0.65,0.4776119402985075,0.9411764705882352,0.32,0.3993261510487516,0.8588,0.960490759014502,1.0163235882999593e-05
16,94,Contextual_word_embedding,10,SVM,2,0.5,0.0,0.0,0.0,0.0,0.7322,0.8493312877573959,0.0018720065784436
17,44,LLama,10,SVM,2,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.7569,0.9085534756454652,0.0002736366005725
18,103,LLama_complex,10,SVM,2,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.7615999999999999,0.902455801312274,0.0003515764490402
19,41,ROS,10,SVM,2,0.5,0.0,0.0,0.0,0.0,0.7342,0.8693049274624923,0.0010869850351278
20,73,Spelling_mistake,10,SVM,2,0.5,0.0,0.0,0.0,0.0,0.7303999999999999,0.9118583155200968,0.000237143637005
21,13,Summarization,10,SVM,2,0.495,0.0,0.0,0.0,-0.0708881205008336,0.6069,0.7278593780557606,0.0170141863821992
22,40,Synonym replacement,10,SVM,2,0.5,0.0,0.0,0.0,0.0,0.7388,0.8370221386594626,0.0025230520869352
23,8,imbalanced,10,SVM,2,0.51,0.0392156862745098,1.0,0.02,0.1005037815259212,0.8301000000000001,0.9422535927041,4.535869822711169e-05
24,82,Contextual_word_embedding,10,SVM,3,0.505,0.0198019801980198,1.0,0.01,0.0708881205008336,0.7591,0.9151515151515152,0.0002044724061488
25,20,LLama,10,SVM,3,0.52,0.0769230769230769,1.0,0.04,0.1428571428571428,0.7922,0.9634325446441844,7.484641255317349e-06
26,58,LLama_complex,10,SVM,3,0.52,0.0769230769230769,1.0,0.04,0.1428571428571428,0.7908,0.9419356657192196,4.634781174791313e-05
