,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval,ID
5,Summarization,10,SVM,0,0.7107494842997937,0.7096180395766221,0.9607476635514018,0.5625684056913535,0.5248686650137638,0.9147418229191736,0.9878787878787878,9.307459988955517e-08,Summarization100SVM
9,ROS,10,SVM,1,0.5911070364428146,0.5214592274678113,0.9848024316109424,0.3546151039766508,0.3989342417701754,0.9404818189874632,1.0,6.646897422032013e-64,ROS101SVM
10,Summarization,10,SVM,1,0.7102910841164336,0.7084870848708487,0.9630094043887149,0.5603794235680408,0.5258376000215972,0.9152033715542988,0.9878787878787878,9.307459988955517e-08,Summarization101SVM
17,Spelling_mistake,10,SVM,2,0.6644510657804263,0.6406480117820325,0.9789947486871718,0.4761036118205035,0.4813996230634456,0.9389842601118964,1.0,6.646897422032013e-64,Spelling_mistake102SVM
27,ROS,10,SVM,4,0.5988998395599359,0.5333333333333333,0.9910802775024776,0.3648303538854432,0.4118014441321309,0.9371604457318222,1.0,6.646897422032013e-64,ROS104SVM
54,paraphrase,20,SVM,2,0.7925739170295668,0.8075696364022964,0.9678899082568808,0.6928128420284567,0.6353213532558188,0.9454561751473604,1.0,6.646897422032013e-64,paraphrase202SVM
60,Synonym replacement,20,SVM,3,0.8028879211551685,0.8192517864649012,0.9662865642042636,0.7110543597227289,0.6485956268450674,0.9481891413710876,1.0,6.646897422032013e-64,Synonym replacement203SVM
69,ROS,50,SVM,0,0.8824203529681411,0.903517020876434,0.9324534161490684,0.8763225100328347,0.7557844024440908,0.9508396721295252,1.0,6.646897422032013e-64,ROS500SVM
72,imbalanced,50,SVM,0,0.8840247536099014,0.9051724137931036,0.930635838150289,0.8810653046333455,0.7580752034029161,0.9509217702054612,1.0,6.646897422032013e-64,imbalanced500SVM
80,LLama_simple,50,SVM,2,0.881732752693101,0.903225806451613,0.9293708992666924,0.8785114921561474,0.7534702595716823,0.9505877547458312,1.0,6.646897422032013e-64,LLama_simple502SVM
82,Summarization,50,SVM,2,0.8824203529681411,0.904165888286942,0.9264931087289432,0.8828894564027727,0.7537676139947181,0.9492973529331056,1.0,6.646897422032013e-64,Summarization502SVM
2,Spelling_mistake,10,SVM,0,0.6484070593628237,0.6174563591022444,0.975571315996848,0.4516599781101788,0.4602810077684335,0.9375402336803644,0.996965091635306,3.698093220209433e-10,Spelling_mistake100SVM
4,imbalanced,10,SVM,0,0.7641531056612423,0.7754745799694523,0.9647122692725298,0.6483035388544327,0.5951360075840461,0.9383450197507728,1.0,6.646897422032013e-64,imbalanced100SVM
5,Contextual_word_embedding,10,SVM,1,0.7054778821911529,0.6992745143926983,0.975195822454308,0.5450565487048522,0.5281315208138935,0.9390323943262808,1.0,6.646897422032013e-64,Contextual_word_embedding101SVM
6,Contextual_word_embedding,10,SVM,2,0.6921842768737108,0.6812247804414907,0.9748641304347826,0.5235315578256111,0.5117962693621624,0.9379264320266169,1.0,6.646897422032013e-64,Contextual_word_embedding102SVM
8,Spelling_mistake,10,SVM,3,0.6433646573458629,0.6078629032258065,0.982885085574572,0.4399854067858446,0.4590252669206659,0.9397978183054866,0.9878787878787878,9.307459988955517e-08,Spelling_mistake103SVM
9,Summarization,10,SVM,3,0.7022690809076324,0.698117592377411,0.9615877080665812,0.5479751915359358,0.5150981909579764,0.913833008464874,1.0,6.646897422032013e-64,Summarization103SVM
10,LLama_simple,10,SVM,4,0.7517763007105203,0.7596004439511653,0.969954648526077,0.6242247354979934,0.5825299467809931,0.9350068894905916,1.0,6.646897422032013e-64,LLama_simple104SVM
11,Summarization,10,SVM,4,0.706165482466193,0.7031032885595183,0.962587190868738,0.5538124771981029,0.5205129634678138,0.9109856672504252,1.0,6.646897422032013e-64,Summarization104SVM
12,Synonym replacement,10,SVM,4,0.6367178546871419,0.5972045743329097,0.9840871021775544,0.4286756658153958,0.4519733814179457,0.9361652596031133,0.9878787878787878,9.307459988955517e-08,Synonym replacement104SVM
16,Synonym replacement,20,SVM,0,0.7957827183130873,0.8117473061483202,0.9643574297188756,0.7008391098139365,0.6374975019674352,0.9470109777498468,1.0,6.646897422032013e-64,Synonym replacement200SVM
17,paraphrase,20,SVM,0,0.7909695163878065,0.806287170773152,0.9649211997966446,0.6924480116745714,0.63122791586875,0.9476656255580982,1.0,6.646897422032013e-64,paraphrase200SVM
19,Spelling_mistake,20,SVM,1,0.8056383222553289,0.822964509394572,0.9619326500732064,0.7190806275082087,0.649747369928235,0.9477602070401012,1.0,6.646897422032013e-64,Spelling_mistake201SVM
23,Summarization,20,SVM,3,0.8150355260142104,0.8359422646879449,0.9439853076216712,0.7500912075884714,0.6523022823196288,0.9334505124044568,1.0,6.646897422032013e-64,Summarization203SVM
24,Contextual_word_embedding,20,SVM,4,0.81297272518909,0.8311258278145696,0.9603060736489718,0.7325793506019701,0.6591829468673106,0.9451524122663972,1.0,6.646897422032013e-64,Contextual_word_embedding204SVM
