,Unnamed: 0,Balancing method,Imbalance %,Model name,Model ID,acc,f1,precision,recall,mcc,auc,spearman,spearman_pval
19,41,ROS,10,LSTM,2,0.5,0.6666666666666666,0.5,1.0,0.0,0.6209,0.8670767080511405,0.0011597682651924
20,73,Spelling_mistake,10,LSTM,2,0.5,0.0196078431372549,0.5,0.01,0.0,0.6041000000000001,0.856305150653836,0.0015625004684127
21,13,Summarization,10,LSTM,2,0.5,0.0,0.0,0.0,0.0,0.5195,0.1590280994071409,0.660791050771099
22,40,Synonym replacement,10,LSTM,2,0.515,0.3576158940397351,0.5294117647058824,0.27,0.0344146242750849,0.5759000000000001,0.5443654172013671,0.1037602990734259
23,8,imbalanced,10,LSTM,2,0.505,0.0388349514563106,0.6666666666666666,0.02,0.0411345034894863,0.5972000000000001,0.7447035204249629,0.0134747785166137
24,82,Contextual_word_embedding,10,LSTM,3,0.54,0.3235294117647059,0.6111111111111112,0.22,0.1041158412590707,0.5740000000000001,0.6255339108083227,0.0530780454349971
25,20,LLama,10,LSTM,3,0.54,0.2068965517241379,0.75,0.12,0.1474419561548971,0.6595,0.7156264473321343,0.0199574946949778
26,58,LLama_complex,10,LSTM,3,0.51,0.0576923076923076,0.75,0.03,0.0714285714285714,0.6464,0.6808542089216724,0.0302111706883683
27,23,ROS,10,LSTM,3,0.51,0.0576923076923076,0.75,0.03,0.0714285714285714,0.6011,0.5969937312497637,0.0684265209780181
28,81,Spelling_mistake,10,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.5885,0.6933037246280291,0.0262034896771421
29,69,Summarization,10,LSTM,3,0.5,0.0,0.0,0.0,0.0,0.5172000000000001,0.252337556507632,0.4818366039881696
30,54,Synonym replacement,10,LSTM,3,0.5,0.0196078431372549,0.5,0.01,0.0,0.6505,0.8170883606475996,0.0039020358324549
31,64,imbalanced,10,LSTM,3,0.495,0.073394495412844,0.4444444444444444,0.04,-0.0241191535097473,0.5863,0.9066928292470474,0.0002959115550594
32,42,Contextual_word_embedding,10,LSTM,4,0.68,0.5844155844155844,0.8333333333333334,0.45,0.4054424270396916,0.7066,0.6911605858848819,0.0268657831494504
